County,Facility Name,Facility Address,City,Is the pool indoor or outdoor,Pool Size_sf,Pool Volume_gal
CUYAHOGA,Ehrnfelt Rec & Sr. Complex -Pool,"18100 Royalton Rd, 44136",Strongsville,INDOOR,4426,270870
GEAUGA,Camp Ho Mita Koda,"14040 Auburn Rd, 44065",Newbury,OUTDOOR,4800,270708
CANTON CITY,"House of Fun, LLC","2600 25th St. NE, 44705",Canton,INDOOR,5100,270000
CHAMPAIGN,City of Urbana Pool,"Urbana City Park, 43078",Urbana,OUTDOOR,5317,270000
CHAMPAIGN,Urbana Country Club Pool,"4761 E. US Hwy 36, 43078",Urbana,OUTDOOR,2625,270000
CANTON CITY,Hall of Fame Outdoor Pool,"2700 Roberts Ave, 44709",Canton,OUTDOOR,8727,269412
SENECA,Walnut Grove Campground,"7325 S. Twp Rd. 131, 44883",Tiffin,OUTDOOR,7191,268943
WARREN,Paul Elmer Fitzgerald (Pool),"211 East Sixth St., 45005",Franklin,OUTDOOR,6888,268832
WOOD,Bowling Green City Pool - Lap/Dive,"520 Conneaut Ave, 43402",Bowling Green,OUTDOOR,7339,265700
FRANKLIN,New Albany Country Club Family,"1 Club Ln, 43054",New Albany,OUTDOOR,6378,265400
HARDIN,Ada Municipal Pool,"426 S. Park Dr., 45810",Ada,OUTDOOR,7445,265140
CRAWFORD,Bucyrus City Aumiller Park Pool,Aumiller Park,Bucyrus,OUTDOOR,7500,265000
FRANKLIN,Upper Arlington HS Natatorium Indoor Pool,"1650 Ridgeview2 Road, 43221",Upper Arlington,INDOOR,3375,265000
AUGLAIZE,St. Marys Swimming Pool (Main),"1010 Motz St., 45885",St. Marys,OUTDOOR,6197,263983
AUGLAIZE,New Bremen Muni Swimming,"300 N. Jefferson, 45885",New Bremen,OUTDOOR,7191,262713
FRANKLIN,Columbus School For Girls,65 S. Columbia Ave,Columbus,INDOOR,4560,260068
COLUMBUS CITY,Columbus Swim Club,"1160 Hunter Ave, 43201",Columbus,INDOOR,8100,260000
CUYAHOGA,Lifetime Fitness Outdoor Leisure Pool,"3850 Richmond Rd, 44122",Beachwood,OUTDOOR,9889,259800
HARDIN,Kenton City Pool,"920 W. Franklin, 43326",Kenton,OUTDOOR,9715,258000
MAHONING,Poland Swim Club,"6100 Clingan Rd, 44514",Poland,OUTDOOR,6140,254798
